Judge_Model,Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
qwen3:14b-fp16,Curve_4,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,CH,5.0,4.8889,4.7778,4.8889
mistral:7b-instruct-v0.3-fp16,Curve_4,CH,4.9444,5.0,4.2222,4.3889
qwen3:14b-fp16,Curve_4,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,EM,4.1111,4.4445,4.4444,4.5556
mistral:7b-instruct-v0.3-fp16,Curve_4,EM,4.1111,4.0,4.1667,4.3333
qwen3:14b-fp16,Curve_4,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,SU,3.0,3.1111,3.0,3.2222
mistral:7b-instruct-v0.3-fp16,Curve_4,SU,3.3333,3.4444,3.4444,3.7222
qwen3:14b-fp16,Curve_4,SU,3.0,3.3333,3.0,3.3333
gemma3:12b-it-fp16,Curve_4,EG,4.1111,4.4445,4.7778,4.7778
mistral:7b-instruct-v0.3-fp16,Curve_4,EG,4.2778,4.3333,4.1667,4.2778
qwen3:14b-fp16,Curve_4,EG,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,CX,4.0,4.0,4.1111,4.0
mistral:7b-instruct-v0.3-fp16,Curve_4,CX,4.1667,4.0,4.1667,4.1111
qwen3:14b-fp16,Curve_4,CX,4.2222,4.4445,4.2222,4.1111
gemma3:12b-it-fp16,Curve_4,OV,4.2037,4.3148,4.3333,4.4074
mistral:7b-instruct-v0.3-fp16,Curve_4,OV,4.213,4.2222,4.1926,4.3352
qwen3:14b-fp16,Curve_4,OV,4.537,4.6296,4.5371,4.5741
gemma3:12b-it-fp16,Curve_4,Count,9.0,9.0,9.0,9.0
mistral:7b-instruct-v0.3-fp16,Curve_4,Count,9.0,9.0,9.0,9.0
qwen3:14b-fp16,Curve_4,Count,9.0,9.0,9.0,9.0
gemma3:12b-it-fp16,Curve_5,RE,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_5,RE,4.7778,4.7778,4.9444,4.8889
qwen3:14b-fp16,Curve_5,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,CH,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_5,CH,5.0,5.0,4.4444,4.4444
qwen3:14b-fp16,Curve_5,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,EM,4.1111,4.2222,4.5556,4.2222
mistral:7b-instruct-v0.3-fp16,Curve_5,EM,4.0,4.0,4.1667,4.0
qwen3:14b-fp16,Curve_5,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,SU,3.0,3.0,3.0,3.2222
mistral:7b-instruct-v0.3-fp16,Curve_5,SU,3.7778,3.6667,3.8704,3.8889
qwen3:14b-fp16,Curve_5,SU,3.2222,3.0,3.2222,3.1111
gemma3:12b-it-fp16,Curve_5,EG,4.8889,4.8889,5.0,4.8889
mistral:7b-instruct-v0.3-fp16,Curve_5,EG,4.2222,4.5556,4.6111,4.5555
qwen3:14b-fp16,Curve_5,EG,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,CX,4.0,4.0,4.0,4.1111
mistral:7b-instruct-v0.3-fp16,Curve_5,CX,4.0,4.0,4.0,4.0
qwen3:14b-fp16,Curve_5,CX,3.8889,4.1111,4.0,4.0
gemma3:12b-it-fp16,Curve_5,OV,4.3333,4.3518,4.4259,4.4074
mistral:7b-instruct-v0.3-fp16,Curve_5,OV,4.2963,4.3333,4.4173,4.3778
qwen3:14b-fp16,Curve_5,OV,4.5185,4.5185,4.5371,4.5185
gemma3:12b-it-fp16,Curve_5,Count,9.0,9.0,9.0,9.0
mistral:7b-instruct-v0.3-fp16,Curve_5,Count,9.0,9.0,9.0,9.0
qwen3:14b-fp16,Curve_5,Count,9.0,9.0,9.0,9.0
gemma3:12b-it-fp16,Curve_6,RE,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_6,RE,4.6667,4.3889,4.8333,4.9444
qwen3:14b-fp16,Curve_6,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,CH,5.0,4.7778,4.8889,4.7778
mistral:7b-instruct-v0.3-fp16,Curve_6,CH,4.9444,5.0,4.3889,5.0
qwen3:14b-fp16,Curve_6,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,EM,4.2222,4.6667,4.6667,4.5556
mistral:7b-instruct-v0.3-fp16,Curve_6,EM,4.1111,4.0556,4.2778,4.0556
qwen3:14b-fp16,Curve_6,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,SU,3.0,3.1111,3.1111,3.1111
mistral:7b-instruct-v0.3-fp16,Curve_6,SU,3.7778,3.4445,3.9444,3.7222
qwen3:14b-fp16,Curve_6,SU,3.5555,3.0,3.2222,3.0
gemma3:12b-it-fp16,Curve_6,EG,4.5555,4.4444,4.6667,4.7778
mistral:7b-instruct-v0.3-fp16,Curve_6,EG,4.2222,4.2778,4.6111,4.6667
qwen3:14b-fp16,Curve_6,EG,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,CX,4.1111,4.1111,4.0,4.1111
mistral:7b-instruct-v0.3-fp16,Curve_6,CX,4.1667,4.1111,4.1111,4.1667
qwen3:14b-fp16,Curve_6,CX,4.2222,4.3333,4.0,4.1111
gemma3:12b-it-fp16,Curve_6,OV,4.3148,4.3519,4.3889,4.3889
mistral:7b-instruct-v0.3-fp16,Curve_6,OV,4.3148,4.213,4.4463,4.4259
qwen3:14b-fp16,Curve_6,OV,4.6297,4.5556,4.537,4.5185
gemma3:12b-it-fp16,Curve_6,Count,9.0,9.0,9.0,9.0
mistral:7b-instruct-v0.3-fp16,Curve_6,Count,9.0,9.0,9.0,9.0
qwen3:14b-fp16,Curve_6,Count,9.0,9.0,9.0,9.0
""
"--- METRIC DEFINITIONS ---"
"RE(Relevance), CH(Coherence), EM(Empathy), SU(Surprise), EG(Engagement), CX(Complexity), OV(Overall)"
"Count(the total number of successfully evaluated story routes)"
