Judge_Model,Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
mistral:7b-instruct-v0.3-fp16,Curve_4,RE,4.3056,4.2222,4.3611,4.3069
qwen3:14b-fp16,Curve_4,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,CH,4.8333,4.8333,4.6556,4.8413
mistral:7b-instruct-v0.3-fp16,Curve_4,CH,4.6945,5.0,4.5167,4.7341
qwen3:14b-fp16,Curve_4,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,EM,4.0556,4.2222,4.3444,4.3757
mistral:7b-instruct-v0.3-fp16,Curve_4,EM,4.0555,4.0,4.1167,4.1402
qwen3:14b-fp16,Curve_4,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_4,SU,3.0,3.0556,3.0,3.0952
mistral:7b-instruct-v0.3-fp16,Curve_4,SU,3.1667,3.1667,3.2722,3.2976
qwen3:14b-fp16,Curve_4,SU,3.0,3.1296,2.8667,3.1508
gemma3:12b-it-fp16,Curve_4,EG,4.0556,4.1852,4.4667,4.3942
mistral:7b-instruct-v0.3-fp16,Curve_4,EG,4.1389,4.1296,4.0889,4.1124
qwen3:14b-fp16,Curve_4,EG,5.0,5.0,4.9333,5.0
gemma3:12b-it-fp16,Curve_4,CX,4.0556,4.0185,4.0667,3.8968
mistral:7b-instruct-v0.3-fp16,Curve_4,CX,4.0833,4.0,4.0944,4.0556
qwen3:14b-fp16,Curve_4,CX,4.1111,4.1852,4.0556,4.0556
gemma3:12b-it-fp16,Curve_4,OV,4.1667,4.2006,4.2241,4.2376
mistral:7b-instruct-v0.3-fp16,Curve_4,OV,4.1093,4.0864,4.1239,4.1443
qwen3:14b-fp16,Curve_4,OV,4.5185,4.5525,4.4759,4.5344
gemma3:12b-it-fp16,Curve_4,Count,16.0,18.0,17.0,22.0
mistral:7b-instruct-v0.3-fp16,Curve_4,Count,16.0,18.0,17.0,22.0
qwen3:14b-fp16,Curve_4,Count,16.0,18.0,17.0,22.0
gemma3:12b-it-fp16,Curve_5,RE,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_5,RE,4.4669,4.6349,4.6158,4.6905
qwen3:14b-fp16,Curve_5,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,CH,5.0,5.0,4.9167,5.0
mistral:7b-instruct-v0.3-fp16,Curve_5,CH,4.5833,4.5536,4.5833,4.7619
